A,B,C,D,E
0.4645120924586801,0.21577148404034135,0.2116493187550289,0.21326220135738877,0.4600536042191485
-0.9689189649560093,0.9388039606514244,0.34953762047540593,0.3570775492689275,0.5912170671381247
0.5561035798938359,0.3092511915707399,0.015492717170223925,0.015493337008569974,0.12446974399517308
-0.4375928206971691,0.1914874767257048,-0.18627816246636697,-0.1873726349279229,0.4315995394649616
-0.5250486930656624,0.2756761300899601,0.09151387414705453,0.0916420928495435,0.30251260163347665
-0.9556098439453047,0.9131901738451695,-0.14454156579535363,-0.14504965737213338,0.3801862251520347
-0.0962867957977358,0.009271147044994873,-0.21077491806593693,-0.2123676190819807,0.45910229586219337
-0.22623124259137373,0.05118057512443699,0.19575766282611515,0.19703000174214746,0.44244509583237007
-0.17486249936354237,0.030576893683664855,0.029304810320201394,0.029309006299907236,0.1711864782049137
-0.19944601110419402,0.039778711345374286,0.06487616507775011,0.0649217612204524,0.25470799963438545
0.32409728563953477,0.10503905055891419,0.0673811786872622,0.06743227074136698,0.2595788486900699
-0.043034714407866215,0.001851986644166608,-0.06140257169630791,-0.061441221411453834,0.24779542307376848
0.29866536547650524,0.08920100053521444,0.05609589025715168,0.0561253519419459,0.23684570981369216
0.5592079267727619,0.3127135053654906,-0.09134297492887268,-0.09147047483491352,0.3022300033565044
-0.2421582995248026,0.058640642028744014,0.15149277249439302,0.15207830132035693,0.38922072464655966
-0.48547664420590686,0.23568757206942867,-0.10868020513102652,-0.10889529432293843,0.32966680926509195
-0.24388239493902986,0.05947862256119694,0.07362998026435114,0.07369667237278898,0.27134844805959574
-0.6178759300076773,0.3817706648828521,0.01558106050585335,0.015581691008974996,0.12482411828590398
-0.6588513524430843,0.43408510461608135,0.18784420189606987,0.18896681457791825,0.4334099697700433
-0.2504082524342197,0.06270429288715991,0.18132045286024434,0.1823289950122891,0.42581739379720546
0.7175804532416894,0.5149217068745484,-0.13338841211146152,-0.13378716461109214,0.3652237836059715
-0.24885864125950952,0.061930623329529255,-0.047037184555488894,-0.0470545467834691,0.21688057671328914
0.2685560058537635,0.07212232828012664,0.03923957960943661,0.039249656414920786,0.19808982712253703
-0.10308888685174766,0.010627318592332432,0.32217458572414803,0.3280256567454553,0.5676042509743457
0.9470345991611782,0.8968745320083734,0.05013412939365836,0.050155154628058585,0.2239065193192426
-0.4280815759547243,0.1832538356718804,0.24334474350626673,0.24581277041924438,0.4932998515165667
-0.17452793685687107,0.030460000743515975,0.13106222679187748,0.1314403731621881,0.36202517425156705
-0.11469851836688383,0.013155750115558387,0.06829657022189727,0.06834977597452085,0.26133612498446757
0.60473358730517,0.3657027116149797,0.38536799875121885,0.3956065903106873,0.6207801533161469
0.8022653489753142,0.6436296901664826,-0.03693161903521681,-0.03694001963866761,0.1921760105611957
0.059939183511989125,0.003592705720083909,-0.01876250343092613,-0.018763604437497305,0.13697628784182367
0.7605530698636644,0.5784409720790441,0.27200385596718996,0.27547478976667333,0.5215398891429015
0.8141443253714518,0.6628309825345363,-0.2868427582473101,-0.29092946776077155,0.5355770329722047
0.6679563693593566,0.4461657113677333,-0.2316738429318454,-0.2337979872351552,0.4813250906942681
0.5250331909100396,0.27565985155717815,0.16360012267697296,0.16433884800669268,0.40447511997275304
-0.2323823009926329,0.05400153381463064,-0.12780369837053682,-0.12815420048926718,0.3574964312696517
0.2703226367422451,0.0730743279352798,0.09848526283861908,0.09864516889255703,0.31382361740095194
0.2530904158914582,0.06405475861611128,-0.07119266959785284,-0.07125294595237117,0.2668195450072068
0.7507945302800929,0.5636924266985054,-0.16742518914007484,-0.16821741151275654,0.4091762323743583
0.42712488532588333,0.182435667664649,-0.006073333086181644,-0.006073370422995883,0.07793159234984003
-0.5684514504979554,0.3231370515732295,0.31589030548824626,0.32139486084520746,0.5620411955437487
0.5411264346990936,0.2928178183301524,0.36752292276569054,0.3763441318451202,0.6062366887327841
-0.958662410384767,0.9190336170847313,-0.22098304157559215,-0.2228223163235713,0.4700883338007785
0.459937338793885,0.21154235561680093,-0.007426291904738707,-0.007426360166199186,0.08617593576363826
-0.24628621879877266,0.06065690157019692,0.04810092646587402,0.04811949431649437,0.21931923414482832
-0.5027325228267232,0.25273998950772175,0.24343875012989621,0.2459096916516021,0.4933951257662526
0.8160779476224731,0.6659832165957079,0.2586183435354984,0.26159161202973175,0.5085453210240936
-0.20122477749950463,0.04049141107972514,0.13866220131436613,0.1391104382904484,0.3723737387549854
0.45900386982921937,0.21068455251819895,-0.24057080984006868,-0.2429538890596904,0.490480182922887
-0.11702934014474775,0.013695866454715067,0.34747131155087385,0.3548730322302382,0.5894669724003829
0.11632410682719141,0.01353129782914384,0.15140893175920397,0.15199348217845504,0.3891130064122812
-0.19749115911281012,0.03900275792772129,0.13983774539716987,0.14029754814669293,0.37394885398563515
0.15230904376368337,0.023198044812207618,-0.21999901773208647,-0.2218134635588846,0.4690405288800601
-0.23662863595411499,0.05599311135350508,0.07207575814412144,0.07213830905252122,0.26846928715240675
0.3144629661346672,0.09888695707021283,0.0826482384364001,0.0827426201568972,0.28748606650827463
-0.9053098443802667,0.8195859143318228,0.31289439147700737,0.31823891716310254,0.5593696376073762
-0.5978882434439221,0.35747035164845864,-0.007357256209426621,-0.0073573225847987644,0.08577444963056668
-0.7109045771171758,0.5053853177661506,-0.06892427026799874,-0.06897895868215476,0.2625343220761787
